Dept	Product	Units 	 Gross Margin 	Revenue	Threshold Met	Rebate	Revised Revenue
Sporting	123456	13	($2.00)	($26.00)	 10 	$100.00 	$74.00 
Sporting	123457	70	$6.48 	$453.60 	 75 	$0.00 	$453.60 
Sporting	123458	87	$6.47 	$562.89 	 25 	$35.00 	$597.89 
Sporting	123459	61	$9.52 	$580.72 	 30 	$50.00 	$630.72 
Sporting	123960	74	($1.22)	($90.28)	 75 	$0.00 	($90.28)
Sporting	123961	67	$3.12 	$209.04 	 87 	$0.00 	$209.04 
Sporting	123962	25	$0.55 	$13.75 	 29 	$0.00 	$13.75 
Sporting	123963	74	($1.00)	($74.00)	 69 	$19.00 	($55.00)
Sporting	123964	74	($1.22)	($90.28)	 78 	$0.00 	($90.28)
Toys	234567	24	$4.95 	$118.80 	 50 	$0.00 	$118.80 
Toys	234568	27	$3.67 	$99.09 	 30 	$0.00 	$99.09 
Toys	234569	11	$8.97 	$98.67 	 10 	$65.00 	$163.67 
Toys	234570	25	($0.60)	($15.00)	 60 	$0.00 	($15.00)
Toys	234571	83	$3.65 	$302.95 	 10 	$75.00 	$377.95 
Toys	234572	20	$4.65 	$93.00 	 86 	$0.00 	$93.00 
Toys	234573	25	$5.65 	$141.25 	 60 	$0.00 	$141.25 
Toys	234574	43	$6.65 	$285.95 	 90 	$0.00 	$285.95 
Toys	234575	33	$7.65 	$252.45 	 92 	$0.00 	$252.45 
Hardware	345678	66	$4.66 	$307.56 	 25 	$55.00 	$362.56 
Hardware	345679	99	$3.75 	$371.25 	 20 	$35.00 	$406.25 
Hardware	345680	22	$3.91 	$86.02 	 25 	$0.00 	$86.02 
Hardware	345681	71	($0.03)	($2.13)	 30 	$65.00 	$62.87 
Hardware	345682	15	$3.29 	$49.35 	 60 	$0.00 	$49.35 
Hardware	345683	20	$4.29 	$85.80 	 21 	$0.00 	$85.80 
Hardware	345684	99	$5.29 	$523.71 	 32 	$93.00 	$616.71 
Hardware	345685	22	$6.29 	$138.38 	 66 	$0.00 	$138.38 
Hardware	345686	71	$7.29 	$517.59 	 15 	$65.00 	$582.59 
Hardware	345687	15	$8.29 	$124.35 	 20 	$0.00 	$124.35 
